Dates,FED policy,Gold,S&P 500,USD LIBOR 12M,USD LIBOR 3M,USDX,UST 10Y,UST 2Y,UST10Y-2Y,VIX,Aluminum,BBG commodity index,Cooper,Corn,Natural Gas,Nickel,Oil,Soy bean oil,Sugar,Wheat,Zinc,Financial Conditions, BBG IG Credit Index , BBG HY Credit Index 
05/02/2000,5.75,299.2,1424.37,6.78,6.09,104.29,6.55,6.62,-0.07,21.54,1716,98.97,82.75,219.75,2.74,9075,28.82,15.82,5.79,257,1089.25,0.3,1.15,4.82
06/02/2000,5.75,299.2,1424.37,6.78,6.09,104.29,6.55,6.62,-0.07,21.54,1716,98.97,82.75,219.75,2.74,9075,28.82,15.82,5.79,257,1089.25,0.3,1.15,4.82
07/02/2000,5.75,314.6,1424.24,6.82,6.1,104.64,6.64,6.67,-0.03,22.79,1702.1,97.67,82.7,221.5,2.56,9218.5,28.45,15.97,5.66,258.75,1083.5,0.231,1.15,4.82
08/02/2000,5.75,298.4,1441.72,6.82,6.1,104.22,6.61,6.68,-0.07,21.25,1693.75,96.43,82,221.25,2.5,9052,28.02,15.76,5.53,259.25,1083,0.397,1.15,4.82
09/02/2000,5.75,307,1411.7,6.8,6.1,103.5,6.66,6.65,0.01,22.9,1703.25,97.65,82.2,222.5,2.54,9235,28.77,15.79,5.49,265.5,1086.5,0.258,1.15,4.82
10/02/2000,5.75,314.8,1416.83,6.8,6.1,104.13,6.67,6.66,0.01,23.07,1709.5,99.32,84.95,225.5,2.59,9645,29.43,15.97,5.52,271.75,1095.5,0.297,1.15,4.82
11/02/2000,5.75,310.95,1387.12,6.8,6.1,104.1,6.6,6.65,-0.05,24.42,1704,98.8,84.5,221.75,2.57,9850,29.44,15.62,5.49,269.5,1102,0.126,1.15,4.82
12/02/2000,5.75,310.95,1387.12,6.8,6.1,104.1,6.6,6.65,-0.05,24.42,1704,98.8,84.5,221.75,2.57,9850,29.44,15.62,5.49,269.5,1102,0.126,1.15,4.82
13/02/2000,5.75,310.95,1387.12,6.8,6.1,104.1,6.6,6.65,-0.05,24.42,1704,98.8,84.5,221.75,2.57,9850,29.44,15.62,5.49,269.5,1102,0.126,1.15,4.82
14/02/2000,5.75,307.65,1389.94,6.79,6.09,104.72,6.55,6.62,-0.07,24.38,1703,98.9,84.4,222.25,2.54,9795,30.25,15.59,5.21,268.75,1084.25,0.08,1.15,4.82
15/02/2000,5.75,303.9,1402.05,6.78,6.09,104.69,6.55,6.63,-0.08,22.92,1643,98.46,82.7,222.25,2.62,9728,30.06,15.47,5.13,266,1076,0.349,1.15,4.82
16/02/2000,5.75,302.8,1387.67,6.8,6.09,104.28,6.55,6.61,-0.06,23.51,1619,98.72,82.8,223,2.56,9755,30.05,15.63,4.95,265.25,1088.25,0.284,1.15,4.82
17/02/2000,5.75,301.9,1388.26,6.8,6.09,104.27,6.57,6.67,-0.1,23.17,1624.75,98.39,83.6,221.25,2.67,9985,29.46,15.49,5.07,262.5,1096,0.329,1.15,4.82
18/02/2000,5.75,304.5,1346.09,6.86,6.11,104.63,6.49,6.64,-0.15,26,1633.25,98.36,83.2,220.5,2.63,9920,29.51,15.69,5.03,264.75,1095.75,0.076,1.15,4.82
19/02/2000,5.75,304.5,1346.09,6.86,6.11,104.63,6.49,6.64,-0.15,26,1633.25,98.36,83.2,220.5,2.63,9920,29.51,15.69,5.03,264.75,1095.75,0.076,1.15,4.82
20/02/2000,5.75,304.5,1346.09,6.86,6.11,104.63,6.49,6.64,-0.15,26,1633.25,98.36,83.2,220.5,2.63,9920,29.51,15.69,5.03,264.75,1095.75,0.076,1.15,4.82
21/02/2000,5.75,305.5,1346.09,6.85,6.11,104.51,6.49,6.64,-0.15,26,1614,98.36,83.2,220.5,2.63,10070,29.51,15.69,5.03,264.75,1078.75,0.111,1.15,4.82
22/02/2000,5.75,305.5,1352.17,6.85,6.11,103.28,6.36,6.55,-0.19,25.86,1627.75,98.39,82.75,219.25,2.52,10315,29.62,15.82,5.14,262.25,1088.5,0.043,1.15,4.82
23/02/2000,5.75,301.35,1360.69,6.84,6.11,103.53,6.42,6.62,-0.2,23.89,1633.5,97.97,83.9,215.25,2.53,10275,29.39,15.6,5.15,254.75,1093.25,0.262,1.15,4.82
24/02/2000,5.75,300.4,1353.43,6.84,6.11,104.01,6.37,6.52,-0.15,24.38,1650.75,98.26,83.4,216.25,2.55,10160,29.97,15.74,5.12,254.75,1098.5,0.158,1.15,4.82
25/02/2000,5.75,292.65,1333.36,6.8,6.1,105.26,6.33,6.4,-0.07,25.2,1644,97.64,81.5,213.25,2.6,10161,30.35,15.37,4.94,248,1093.75,0.01,1.15,4.82
26/02/2000,5.75,292.65,1333.36,6.8,6.1,105.26,6.33,6.4,-0.07,25.2,1644,97.64,81.5,213.25,2.6,10161,30.35,15.37,4.94,248,1093.75,0.01,1.15,4.82
27/02/2000,5.75,292.65,1333.36,6.8,6.1,105.26,6.33,6.4,-0.07,25.2,1644,97.64,81.5,213.25,2.6,10161,30.35,15.37,4.94,248,1093.75,0.01,1.15,4.82
28/02/2000,5.75,292.55,1348.05,6.75,6.1,105.27,6.42,6.51,-0.09,24.68,1590.25,97.32,78.1,212,2.69,9582,30.13,15.33,4.7,244.5,1053,0.223,1.15,4.82
29/02/2000,5.75,293.3,1366.42,6.76,6.11,105.92,6.41,6.52,-0.11,23.37,1571.5,98.06,78.7,215,2.76,9813,30.43,15.53,4.65,247,1068.55,0.216,1.22,4.97
01/03/2000,5.75,293.5,1379.19,6.76,6.11,104.89,6.39,6.5,-0.11,21.64,1607.25,99.84,79.15,214.75,2.82,10620,31.77,15.54,5.08,247.75,1119.25,0.264,1.22,4.97
02/03/2000,5.75,289.28,1381.76,6.77,6.12,105.78,6.38,6.51,-0.13,21.06,1595.5,99.7,78.6,216.25,2.78,10320,31.69,15.63,4.96,247.25,1117.75,0.262,1.22,4.97
03/03/2000,5.75,289.18,1409.17,6.76,6.12,106,6.39,6.5,-0.11,19.21,1591.75,100.08,79.15,218.5,2.83,10305,31.51,16.05,5.05,247.5,1118,0.474,1.22,4.97
04/03/2000,5.75,289.18,1409.17,6.76,6.12,106,6.39,6.5,-0.11,19.21,1591.75,100.08,79.15,218.5,2.83,10305,31.51,16.05,5.05,247.5,1118,0.474,1.22,4.97
05/03/2000,5.75,289.18,1409.17,6.76,6.12,106,6.39,6.5,-0.11,19.21,1591.75,100.08,79.15,218.5,2.83,10305,31.51,16.05,5.05,247.5,1118,0.474,1.22,4.97
06/03/2000,5.75,288.3,1391.28,6.76,6.12,106.16,6.41,6.53,-0.12,21.5,1592.25,100.94,79.35,221.75,2.85,10420,32.18,16.15,5.04,249.75,1126,0.367,1.22,4.97
07/03/2000,5.75,292,1355.62,6.77,6.13,106.01,6.37,6.49,-0.12,24.31,1580.5,102.25,78.4,218,2.8,10365,34.13,16.04,5.07,250,1131.5,0.199,1.22,4.97
08/03/2000,5.75,291.7,1366.7,6.76,6.13,105.96,6.38,6.5,-0.12,23.82,1555.5,99.46,77.85,219.25,2.71,10325,31.26,16.03,5.12,252,1127,0.204,1.22,4.97
09/03/2000,5.75,289.1,1401.69,6.77,6.14,105.37,6.34,6.48,-0.14,22.21,1570.35,100.53,78.85,220.5,2.79,10490,31.69,15.95,5.16,254.25,1143.9,0.288,1.22,4.97
10/03/2000,5.75,289.15,1395.07,6.77,6.14,105.71,6.38,6.54,-0.16,21.24,1580.3,100.02,78.15,219.75,2.77,10521,31.76,15.87,5.22,250,1131.15,0.443,1.22,4.97
11/03/2000,5.75,289.15,1395.07,6.77,6.14,105.71,6.38,6.54,-0.16,21.24,1580.3,100.02,78.15,219.75,2.77,10521,31.76,15.87,5.22,250,1131.15,0.443,1.22,4.97
12/03/2000,5.75,289.15,1395.07,6.77,6.14,105.71,6.38,6.54,-0.16,21.24,1580.3,100.02,78.15,219.75,2.77,10521,31.76,15.87,5.22,250,1131.15,0.443,1.22,4.97
13/03/2000,5.75,290.8,1383.62,6.78,6.15,105.5,6.37,6.51,-0.14,22.85,1572.25,100.74,78,223.5,2.86,10230,32.02,16.21,5.42,253.75,1118.5,0.298,1.22,4.97
14/03/2000,5.75,289.6,1359.15,6.79,6.16,105.2,6.29,6.47,-0.18,24.41,1596,100.74,79.35,228.75,2.81,10021,31.69,16.57,5.28,259.5,1124.25,0.155,1.22,4.97
15/03/2000,5.75,289.45,1392.15,6.8,6.17,105.38,6.29,6.49,-0.2,22.34,1594.25,100.07,80.15,236,2.87,10050,30.72,16.85,5.25,268.75,1119.25,0.21,1.22,4.97
16/03/2000,5.75,286.95,1458.47,6.82,6.19,105.18,6.25,6.49,-0.24,20.77,1601.75,100.32,81.05,235.25,2.85,10118,31.09,16.94,5.34,266.25,1125.75,0.278,1.22,4.97
17/03/2000,5.75,284.23,1464.47,6.83,6.21,105.2,6.19,6.49,-0.3,22.37,1608.25,100.46,80.55,240.75,2.79,10360,30.91,17.85,5.27,272.25,1137,0.171,1.22,4.97
18/03/2000,5.75,284.23,1464.47,6.83,6.21,105.2,6.19,6.49,-0.3,22.37,1608.25,100.46,80.55,240.75,2.79,10360,30.91,17.85,5.27,272.25,1137,0.171,1.22,4.97
19/03/2000,5.75,284.23,1464.47,6.83,6.21,105.2,6.19,6.49,-0.3,22.37,1608.25,100.46,80.55,240.75,2.79,10360,30.91,17.85,5.27,272.25,1137,0.171,1.22,4.97
20/03/2000,5.75,284.95,1456.63,6.83,6.23,105.15,6.18,6.51,-0.33,22.96,1593.5,98.13,79.9,235.75,2.71,10440,29.43,17.46,5.13,266.25,1126.5,0.155,1.22,4.97
21/03/2000,6,290.83,1493.87,6.85,6.24,105.81,6.14,6.5,-0.36,21.7,1589.5,98.58,81,232,2.75,10195,28,17.27,5.2,260.25,1130.5,0.212,1.22,4.97
22/03/2000,6,288.18,1500.64,6.85,6.25,106.04,6.11,6.48,-0.37,21.49,1566.5,98.51,80.9,234.5,2.79,10190,27.46,17.5,5.25,261.75,1115,0.212,1.22,4.97
23/03/2000,6,284.48,1527.35,6.84,6.25,105.23,6.08,6.5,-0.42,22.26,1569,98.11,81.1,230.25,2.85,10330,27.31,17.16,5.45,256.25,1108.5,0.128,1.22,4.97
24/03/2000,6,285.03,1527.46,6.87,6.26,104.77,6.19,6.62,-0.43,23.31,1566.5,98.73,80.45,232,2.84,10270,28.02,17.4,5.38,252.75,1105.6,0.179,1.22,4.97
25/03/2000,6,285.03,1527.46,6.87,6.26,104.77,6.19,6.62,-0.43,23.31,1566.5,98.73,80.45,232,2.84,10270,28.02,17.4,5.38,252.75,1105.6,0.179,1.22,4.97
26/03/2000,6,285.03,1527.46,6.87,6.26,104.77,6.19,6.62,-0.43,23.31,1566.5,98.73,80.45,232,2.84,10270,28.02,17.4,5.38,252.75,1105.6,0.179,1.22,4.97
27/03/2000,6,281.3,1523.86,6.94,6.28,105.3,6.19,6.62,-0.43,24.53,1558,98.65,79.5,232.5,2.91,10220,27.79,17.6,5.47,254.5,1091,-0.005,1.22,4.97
28/03/2000,6,279.9,1507.73,6.96,6.28,105.53,6.15,6.6,-0.45,24.86,1565,98.06,79.8,225,2.96,10150,27.09,17.5,5.41,249.75,1097,-0.007,1.22,4.97
29/03/2000,6,279.08,1508.52,6.96,6.28,106.22,6.15,6.59,-0.44,24.1,1560,97,80.05,227,2.9,10142,26.45,17.79,5.42,251.25,1087.75,0.027,1.22,4.97
30/03/2000,6,275.68,1487.92,6.97,6.29,105.47,6.06,6.48,-0.42,25.47,1554,97.56,80.75,233.25,2.87,10200,26.7,17.88,5.55,255.5,1092.25,-0.142,1.22,4.97
31/03/2000,6,279.73,1498.58,6.94,6.29,105.44,6,6.48,-0.48,24.11,1525.5,98.52,80.5,236,2.95,10160,26.9,18.31,5.9,262.25,1105.4,-0.156,1.46,5.79
01/04/2000,6,279.73,1498.58,6.94,6.29,105.44,6,6.48,-0.48,24.11,1525.5,98.52,80.5,236,2.95,10160,26.9,18.31,5.9,262.25,1105.4,-0.156,1.46,5.79
02/04/2000,6,279.73,1498.58,6.94,6.29,105.44,6,6.48,-0.48,24.11,1525.5,98.52,80.5,236,2.95,10160,26.9,18.31,5.9,262.25,1105.4,-0.156,1.46,5.79
03/04/2000,6,278.38,1505.97,6.95,6.29,105.54,5.97,6.42,-0.45,24.03,1509.5,97.68,80.25,234.25,2.89,9985,26.43,18.54,5.91,257.75,1097.3,-0.217,1.46,5.79
04/04/2000,6,287.4,1494.73,6.94,6.29,105.17,5.9,6.31,-0.41,27.12,1491.25,96.15,79.3,232,2.82,9910,25.45,18.39,5.81,255.75,1079.5,-0.361,1.46,5.79
05/04/2000,6,287.4,1487.37,6.86,6.27,105.29,5.87,6.3,-0.43,28.41,1491.25,96.7,79.1,232,2.89,9931,25.83,18.48,6.02,256.25,1087,-0.402,1.46,5.79
06/04/2000,6,279.43,1501.34,6.87,6.27,105.52,5.93,6.39,-0.46,27.15,1460,95.95,76.35,227,2.96,9860,25.69,17.84,5.96,253.75,1084.5,-0.252,1.46,5.79
07/04/2000,6,280.48,1516.35,6.88,6.28,105.97,5.85,6.37,-0.52,24.39,1464,95.74,76.85,229.25,2.97,9307,25.04,17.97,5.89,258.5,1102,-0.21,1.46,5.79
08/04/2000,6,280.48,1516.35,6.88,6.28,105.97,5.85,6.37,-0.52,24.39,1464,95.74,76.85,229.25,2.97,9307,25.04,17.97,5.89,258.5,1102,-0.21,1.46,5.79
09/04/2000,6,280.48,1516.35,6.88,6.28,105.97,5.85,6.37,-0.52,24.39,1464,95.74,76.85,229.25,2.97,9307,25.04,17.97,5.89,258.5,1102,-0.21,1.46,5.79
10/04/2000,6,281.95,1504.46,6.87,6.28,105.68,5.77,6.26,-0.49,25.99,1468.7,94.65,77.55,227,2.97,9528,23.85,17.77,5.86,252.75,1140.75,-0.417,1.46,5.79
11/04/2000,6,281.7,1500.59,6.84,6.28,105.94,5.88,6.33,-0.45,27.25,1480.2,94.63,78,223.25,2.95,9933,24.14,17.73,5.97,252.75,1140,-0.405,1.46,5.79
12/04/2000,6,281.55,1467.17,6.86,6.28,105.96,5.94,6.36,-0.42,28.98,1479,96.39,77.75,225.5,3.02,9861,25.41,17.97,6.03,255.5,1133,-0.521,1.46,5.79
13/04/2000,6,280.2,1440.51,6.86,6.28,106.14,5.91,6.35,-0.44,29.4,1463.75,96.69,77,227.5,3.09,9906.5,25.38,18.29,6.16,257.75,1137,-0.587,1.46,5.79
14/04/2000,6,282.5,1356.56,6.86,6.28,105.47,5.85,6.24,-0.39,33.49,1432.5,95.87,75.35,226.25,3.08,9573.25,25.57,18.17,6.23,255.75,1112.75,-0.954,1.46,5.79
15/04/2000,6,282.5,1356.56,6.86,6.28,105.47,5.85,6.24,-0.39,33.49,1432.5,95.87,75.35,226.25,3.08,9573.25,25.57,18.17,6.23,255.75,1112.75,-0.954,1.46,5.79
16/04/2000,6,282.5,1356.56,6.86,6.28,105.47,5.85,6.24,-0.39,33.49,1432.5,95.87,75.35,226.25,3.08,9573.25,25.57,18.17,6.23,255.75,1112.75,-0.954,1.46,5.79
17/04/2000,6,282.45,1401.44,6.82,6.28,106.13,6.04,6.32,-0.28,28.95,1418.25,96.15,74.35,224,3.16,9630,25.89,18.09,6.45,253.25,1125.5,-0.55,1.46,5.79
18/04/2000,6,280.95,1441.61,6.83,6.29,106.63,6.06,6.33,-0.27,26.12,1424,96.53,76.45,224.5,3.1,9660,26.11,18.33,6.35,252.25,1133.75,-0.378,1.46,5.79
19/04/2000,6,280.75,1427.47,6.84,6.31,107.13,5.99,6.32,-0.33,27.02,1445,97.56,76.9,227.75,3.06,9580,27.35,18.57,6.41,253,1146,-0.517,1.46,5.79
20/04/2000,6,279.9,1434.54,6.84,6.32,107.45,5.99,6.36,-0.37,25.85,1435.5,97.4,76.6,226.75,3.07,9540,25.88,18.56,6.44,251,1159.75,-0.5,1.46,5.79
21/04/2000,6,280,1434.54,6.84,6.32,107.45,5.99,6.36,-0.37,25.85,1435.5,97.4,76.6,226.75,3.07,9540,25.88,18.56,6.44,251,1159.75,-0.507,1.46,5.79
22/04/2000,6,280,1434.54,6.84,6.32,107.45,5.99,6.36,-0.37,25.85,1435.5,97.4,76.6,226.75,3.07,9540,25.88,18.56,6.44,251,1159.75,-0.507,1.46,5.79
23/04/2000,6,280,1434.54,6.84,6.32,107.45,5.99,6.36,-0.37,25.85,1435.5,97.4,76.6,226.75,3.07,9540,25.88,18.56,6.44,251,1159.75,-0.507,1.46,5.79
24/04/2000,6,279.4,1429.86,6.84,6.32,107.28,6.02,6.39,-0.37,27.37,1435.5,97.68,76.6,228,3.14,9540,26.04,18.49,6.37,250.75,1159.75,-0.607,1.46,5.79
25/04/2000,6,278.55,1477.44,6.86,6.33,108.67,6.13,6.48,-0.35,25.24,1460.75,97.54,78.95,230.5,3.11,9515,25.33,18.29,6.36,252.25,1164,-0.344,1.46,5.79
26/04/2000,6,275.95,1460.99,6.95,6.38,108.55,6.13,6.5,-0.37,26.97,1476.5,96.74,78.3,227.5,3.09,10090,24.65,18.02,6.27,248.5,1166,-0.595,1.46,5.79
27/04/2000,6,275.75,1464.92,6.96,6.39,109.57,6.22,6.61,-0.39,26.19,1441,96.75,78.8,225.25,3.06,9970,25.42,17.67,6.18,241,1161.5,-0.526,1.46,5.79
28/04/2000,6,274.5,1452.43,7.1,6.5,110.14,6.21,6.68,-0.47,26.2,1462.5,96.88,79,223.75,3.14,10070,25.74,17.61,6.16,242.25,1160.25,-0.744,1.56,5.84
29/04/2000,6,274.5,1452.43,7.1,6.5,110.14,6.21,6.68,-0.47,26.2,1462.5,96.88,79,223.75,3.14,10070,25.74,17.61,6.16,242.25,1160.25,-0.744,1.56,5.84
30/04/2000,6,274.5,1452.43,7.1,6.5,110.14,6.21,6.68,-0.47,26.2,1462.5,96.88,79,223.75,3.14,10070,25.74,17.61,6.16,242.25,1160.25,-0.744,1.56,5.84
01/05/2000,6,272.95,1468.25,7.1,6.5,109.63,6.28,6.72,-0.44,25.88,1462.5,98.52,79.5,235.5,3.22,10070,25.87,18.16,6.53,251,1160.25,-0.646,1.56,5.84
02/05/2000,6,274.9,1446.29,7.16,6.57,110.26,6.3,6.71,-0.41,28.5,1476.75,99.78,81.75,237.5,3.22,10050,26.89,18.15,6.4,254.25,1162.5,-0.751,1.56,5.84
03/05/2000,6,276.5,1415.1,7.2,6.6,111.26,6.4,6.75,-0.35,31.63,1444.5,99.42,81.55,241.75,3.13,9915,26.75,18.21,6.4,260,1134.75,-0.853,1.56,5.84
04/05/2000,6,280.85,1409.57,7.26,6.65,111.8,6.43,6.75,-0.32,30.77,1447.25,99.89,82,242.25,3.11,9832,26.98,18.2,6.53,265.5,1149.25,-0.939,1.56,5.84
05/05/2000,6,278.85,1432.63,7.27,6.67,111.31,6.51,6.82,-0.31,27.53,1456.25,99.75,83.8,240.25,3.03,9922,27.29,17.88,6.59,261.75,1152,-0.694,1.56,5.84
06/05/2000,6,278.85,1432.63,7.27,6.67,111.31,6.51,6.82,-0.31,27.53,1456.25,99.75,83.8,240.25,3.03,9922,27.29,17.88,6.59,261.75,1152,-0.694,1.56,5.84
07/05/2000,6,278.85,1432.63,7.27,6.67,111.31,6.51,6.82,-0.31,27.53,1456.25,99.75,83.8,240.25,3.03,9922,27.29,17.88,6.59,261.75,1152,-0.694,1.56,5.84
08/05/2000,6,277.15,1424.17,7.33,6.7,111.45,6.56,6.85,-0.29,28.2,1446,100.24,83.35,233.25,3.17,9882,28.09,17.62,6.45,258,1137.5,-0.59,1.56,5.84
09/05/2000,6,277.35,1412.14,7.35,6.72,110.75,6.53,6.84,-0.31,28.93,1452,100.83,82.65,231,3.18,9965,28.65,17.64,6.5,257.75,1140.75,-0.539,1.56,5.84
10/05/2000,6,277.65,1383.05,7.34,6.72,110.8,6.42,6.79,-0.37,29.87,1449.25,101.42,82.45,236.75,3.32,9997,28.1,17.64,6.5,265,1151.5,-0.651,1.56,5.84
11/05/2000,6,276.55,1407.81,7.33,6.72,111.52,6.41,6.81,-0.4,27.76,1442,102.38,82.6,237.75,3.35,9890,29.11,17.51,6.63,272.5,1145.9,-0.799,1.56,5.84
